	spatial	climate	plantcover	plantrichness	N	P	pH	Sand	Invertebrate	Protists	Fungal	Bacteria	WSC	MAOM	Infiltration	WHC	AvaiableP	AvailableNitrate	AvailableAmmonium	AMF	Water	Glucose	Lignin	BG	NAG	XYL	PHOS	NDVI	Plantpathogen	args	module1	module2	module3	EMF	total1	total2	total3	total4	total5	total6	total7	total8
35	39.112631	-0.129	97.85	9	0.153963333	0.060319443	8.82	41.74	0.065573286	0.186300968	0.129901961	0.40443982	0.081195465	0.09264561	0.134693591	0.797871261	0.221117613	0.133174482	0.072722128	0.131174426	0.260259625	1	0.697766155	0.187317418	0.01652144	0.305290406	0.074594256	0.273102041	0.439151321	0.9005891	0.253160342	0.462063564	0.171428631	0.350333121	0.086920537	0.466282426	0.142338074	0.131174426	0.363107043	0.273102041	0.439151321	0.9005891
36	41.155998	-0.242	97.9	6	0.215316667	0.04426656	8.223333333	70.56	0.154255319	0.409227146	0.197058824	0.46548734	0.119584278	0.261089803	0.458660086	0.659949797	0.46551305	0.111595538	0.081159644	0.20223876	0.969832892	0.640065556	0.908155082	0.097183549	0.054749359	0.151531544	0.118368049	0.77237403	0.919935949	0.786319516	0.318847709	0.637161068	0.345442418	0.508739587	0.19033704	0.559304942	0.219422744	0.20223876	0.419983719	0.77237403	0.919935949	0.786319516
39	42.43936	-0.7598	98.88	3	0.257083333	0.034929483	7.85	78.58	0.33427896	0.438701787	0.227941176	0.546305931	0.122738154	0.249916505	0.009925581	0.860128085	0.346625884	0.074135741	0.046106224	0.246467897	0.523069402	0.472536974	0.662816839	0.030261096	0.02521928	0.034700745	0.127255216	0.859318579	0.850280224	0.722847832	0.235458009	0.450303399	0.317260276	0.465483906	0.186327329	0.435026833	0.155622616	0.246467897	0.267979936	0.859318579	0.850280224	0.722847832
42	59.85237	-0.7641	77.66666667	7	0.677613333	0.115181507	6.366666667	70.08	0.435047281	0.543827648	0.544117647	0.730835935	0.350469827	0.54996413	0.66482305	0.52036488	0.922885482	1	1	0.420031766	0.531490503	0.274768968	0.635753794	1	1	0.425062726	1	0.86359501	0.823859087	0.753666823	0.838393451	0.556986103	0.681073261	0.69669442	0.450216979	0.592593965	0.974295161	0.420031766	0.69529657	0.86359501	0.823859087	0.753666823
44	51.752507	-0.7711	94.1	8	0.570256667	0.078458334	7.833333333	39.5	0.450744144	0.498100302	0.579901961	0.58411377	0.217695706	0.538118637	0.492674759	0.894560551	0.518731181	0.081992642	0.191764847	0.832768819	1	0.669624547	1	0.090094382	0.065698298	0.092849748	0.076281574	0.720076607	0.844675741	0.868843125	0.311063892	0.804224909	0.448063733	0.628730582	0.377907171	0.693617655	0.26416289	0.832768819	0.42779265	0.720076607	0.844675741	0.868843125
45	67.282663	-1.5762	90.66666667	7	0.66666	0.121003846	6.96	73.46	0.478742209	0.544200072	0.066666667	0.816510579	0.196560256	0.787859111	0.874276667	0.074172421	0.821814582	0.2537614	0.266476308	0.654113342	0.936775921	0.544564209	0.914376209	0.247548623	0.058105943	0.160212615	0.221225504	0	0.918334668	0.369297131	0.273053485	0.774328853	0.542307586	0.474491428	0.492209683	0.474224544	0.447350763	0.654113342	0.440401289	0	0.918334668	0.369297131
48	46.57555556	-0.6576	87.77777778	4	0.432963333	0.152469029	7.813333333	45.3	0.310127874	0.316718941	0.244117647	0.471730836	0.116789623	0.358597723	0.659455436	0.675395725	0.317235872	0.086550747	0.104620055	0.718097456	0.600556384	0.524541727	0.689500127	0.1748438	0.028888677	0.175477416	0.181327263	0.813998105	0.82866293	0.852438859	0.371622538	0.569986313	0.352167583	0.578386319	0.237693673	0.667425581	0.169468891	0.718097456	0.339305056	0.813998105	0.82866293	0.852438859
50	46.325	-0.7711	70.625	5	0.40287	0.142103342	7.86	21.58	0.24882334	0.421010484	0.188235294	0.796739507	0.130613843	0.19763753	0.491327412	0.526620879	0.50569895	0.098918024	0.042359075	0.396500169	0.49841046	0.500305532	0.673566026	0.03870221	0.01765114	0.117367429	0.209520544	0.570958153	0.904723779	0.52254643	0.258373918	0.514896227	0.318833557	0.447141655	0.164125686	0.508974145	0.215658683	0.396500169	0.293646192	0.570958153	0.904723779	0.52254643
52	47.39638889	-0.6404	21.25	2	0.199163333	0.053210285	7.743333333	54.2	0.154623361	0.393555957	0.147058824	0.766215747	0.085266911	0.127351892	0.327027042	0.632930566	0.746487483	0.010861983	0.002332322	0.31289388	0.49109493	0.568158233	0.46047534	0.192223482	0.04507276	0.197893338	0.184264104	0.394069251	0.554043235	0.647496573	0.249863566	0.515821973	0.19224859	0.381701983	0.106309402	0.479978804	0.253227263	0.31289388	0.305597455	0.394069251	0.554043235	0.647496573
57	46.051899	-1.5908	63.33333333	5	0.374293333	0.050812431	6.79	34.86	0.270263808	0.395210165	0.261764706	0.611515782	0.11781042	0.252699182	0.221930912	0.907625635	0.163134066	0.047816956	0.054646636	0.343968125	0.814560398	0.425871734	0.627517409	0.123599521	0.039774458	0.120108837	0.362123912	0.828033419	0.96877502	0.932833489	0.334527688	0.475010347	0.348482815	0.533906893	0.185254801	0.564778273	0.088532553	0.343968125	0.359079467	0.828033419	0.96877502	0.932833489
58	45.544423	-0.8608	63.33333333	3	0.503473333	0.059367258	7.556666667	35.24	0.407667096	0.523616592	0.45	0.693374957	0.215391271	0.328221417	0.841059909	0.427464013	0.271248101	0.127301999	0.148153865	0.542118708	0.4683425	0.426606516	0.562463405	0.210331544	0.135876554	0.203885161	0.291535749	0.570320274	0.775020016	0.963241925	0.41794414	0.454155846	0.366696642	0.533429797	0.271806344	0.634261961	0.182234655	0.542118708	0.32843449	0.570320274	0.775020016	0.963241925
59	46.565195	-1.1262	58.33333333	6	0.390683333	0.093424017	7.26	54.5	0.383857189	0.510269629	0.337745098	0.706902532	0.087095623	0.270443455	0.17164237	0.199338201	0.380265155	0.120607111	0.026084272	0.404563984	0.80052516	0.539958485	0.730912172	0.59593693	0.334583804	0.440129203	0.529220946	0.97278215	0.89031225	0.932774502	0.512209627	0.571244991	0.3184839	0.538458588	0.178769539	0.185490286	0.175652179	0.404563984	0.567323814	0.97278215	0.89031225	0.932774502
63	25.76184	-0.3581	70.2247191	12	0.335685	0.101206737	7.02	50.68	0.363150118	0.532472196	0.325	0.817898023	0.072731764	0.204543487	0.167238958	0.881243849	1	0.175598079	0.227092658	0.228445819	0.441390541	0.413860294	0.56618158	0.435149969	0.094317925	0.185280882	0.199333356	0.903946116	0.595276221	0.89588962	0.382094363	0.529975647	0.274911033	0.510955665	0.138637625	0.524241404	0.467563579	0.228445819	0.333644935	0.903946116	0.595276221	0.89588962
64	26.16431	-0.3841	23.01587302	14	0.386253333	0.065912314	6.21	55.86	0.135955298	0.4048054	0.308333333	0.608394034	0.052367095	0.125596527	0.188103175	0.693206242	0.558137153	0.114920036	0.147725129	0.203004506	0.655686451	0.430340682	0.648658528	0.739557812	0.228581463	0.246263679	0.275153911	0.774105796	0.333466773	0.893703625	0.432548687	0.499165464	0.164788881	0.433514675	0.088981811	0.440654708	0.273594106	0.203004506	0.460606075	0.774105796	0.333466773	0.893703625
65	33.90396	-0.3413	80.27314112	16	0.483573333	0.081307986	7.86	67.46	0.240240168	0.322222364	0.335784314	0.514047867	0.091551469	0.367868615	0.752817676	0.126263256	0.967710604	0.215609534	0.088525321	1	0.788741795	0.500488632	0.862612963	0.169681622	0.149334704	0.147508345	0.103861724	0.56319862	0.891913531	0.850655577	0.369083475	0.823910799	0.359964734	0.598482086	0.229710042	0.439540466	0.423948486	1	0.388889969	0.56319862	0.891913531	0.850655577
66	23.56219444	-0.6965	77.18446602	14	0.12195	0.014917066	6.513333333	69.98	0.245449173	0.456232655	0.142647059	0.797433229	0	0.071730468	0.420489974	0.484820687	0.034385063	0.247040812	0.029402686	0.086276568	0.016273233	0.050782361	0.016146166	0.067051568	0.028977674	0.091960298	0.273257861	0.670002825	0.497998399	0.758412522	0.319649192	0.040772678	0.149782888	0.335324856	0.035865234	0.452655331	0.10360952	0.086276568	0.077778452	0.670002825	0.497998399	0.758412522
68	25.14310278	-0.4861	88.80597015	9	0.24047	0.159487946	8.136666667	35.8	0.185431442	0.400638736	0.11127451	0.432188692	0.001602603	0.203112059	0.259839869	0.823771522	0.538352451	0.028718077	0.016317676	0.078046893	0.027248668	0.096918197	0.076047625	0.033664377	0.021362209	0.070084606	0.093322122	0.547131183	0.401921537	0.876398357	0.2413151	0.163322767	0.155738469	0.35024132	0.102357331	0.541805696	0.194462734	0.078046893	0.059806829	0.547131183	0.401921537	0.876398357
69	27.20263889	-0.3868	85.55555556	8	0.148801667	0.081664927	8.356666667	62.16	0.147458629	0.395182061	0.315686275	0.420048561	0.002418275	0.04272824	0.175804417	0.673815328	0.298730705	0.035172485	0.011815952	0.093720995	0	0.138109698	0	0.007871458	0.004837567	0.031964788	0.116946538	0.387171615	0.302642114	0.591846076	0.168951868	0.10611228	0.089901145	0.247602778	0.022573258	0.424809872	0.115239714	0.093720995	0.042818578	0.387171615	0.302642114	0.591846076
73	36.221806	-0.4839	80	8	0.11467	0.040252959	8.033333333	58.06	0.14748818	0.515226611	0.374509804	0.583420049	0.014340863	0.063969446	0.417044345	0.752002858	0.727707169	0.072033836	0.078887345	0.252984434	0.491491616	0.515460436	0.438140826	0.123414552	0.030447128	0.131062425	0.045857964	0.472834698	0.740592474	0	0.161586869	0.485156896	0.224447532	0.329582863	0.039155154	0.584523602	0.292876117	0.252984434	0.253696421	0.472834698	0.740592474	0
75	40.01034	-0.3767	75	3	0.123953333	0.042148572	8.483333333	48.32	0.120352461	0.481231596	0.379411765	0.658688866	0.009375441	0.07155196	0.047247302	0.793684511	0.097740177	0.061944693	0.033509972	0	0.531166485	0.477943714	0.583649014	0.285026702	0.020799256	0.369836923	0.32771163	0.488085262	0.70376301	0.807429493	0.301010158	0.338099878	0.204550096	0.361935237	0.040463701	0.420465906	0.064398281	0	0.370876246	0.488085262	0.70376301	0.807429493
76	39.08455	-0.3688	70	4	0.135303333	0.061398926	8.396666667	16.28	0.154010853	0.322180101	0.330882353	0.406174124	0.017830823	0.087304901	0.321367255	0.882652752	0.203871293	0.048141879	0.0490302	0	0.541783401	0.476068699	0.567511399	0.033275637	0.006746943	0.113682647	0.058562155	0.649360282	0.699759808	0.725119495	0.244532037	0.357846959	0.213481433	0.385746207	0.052567862	0.602010004	0.100347791	0	0.256804412	0.649360282	0.699759808	0.725119495
83	43.830834	-0.1415	47.55555556	3	0.717126667	0.096384423	8.42	45.46	0.097539222	0.371177435	0.512745098	0.562608394	0.018254798	0.249113615	0.002960684	0.855859203	0.233233377	0.298835783	0.079779115	0.19591329	0.215284335	0.397910013	0.327501741	0.160741405	0.059649849	0.20739899	0.278534893	0.739998882	0.793434748	0.727804416	0.309490613	0.273968551	0.285145569	0.432435457	0.133684206	0.429409944	0.203949425	0.19591329	0.235288746	0.739998882	0.793434748	0.727804416
89	23.708257	-0.1149	65.33333333	5	0.17367	0.04074155	8.74	74	0.308199011	0.303892137	0.301470588	0.50364204	0.070052001	0.148888535	0.397313495	0.826892612	0.233902625	0.039807689	0.052031349	0.241851769	0.698043688	0.659428102	0.78758553	0.070129515	0.024938277	0.145797135	0.164329065	0.840951563	0.505204163	0.847212855	0.316309949	0.524162343	0.194044012	0.45371198	0.109470268	0.612103053	0.108580555	0.241851769	0.364321616	0.840951563	0.505204163	0.847212855
90	27.4984	-0.6583	74	5	0.64138	0.089162782	6.286666667	46.22	0.403175371	0.557243548	0.580392157	0.562955255	0.183885568	0.479653321	0.133877848	0.839194204	0.687340252	0.097886347	0.184201952	0.537817898	0.653650213	0.52672783	0.756267664	0.349157416	0.095549068	0.235999859	0.532396567	0.939738334	0.59327462	0.90698896	0.4114493	0.632360771	0.360253865	0.571154028	0.331769445	0.486536026	0.32314285	0.537817898	0.449964088	0.939738334	0.59327462	0.90698896
91	34.1854	-0.1465	93.83333333	4	0.303336667	0.030847967	8.166666667	66.78	0.373890501	0.599798322	0.578431373	0.808532778	0.059563109	0.228776445	0.543120404	0.676264092	0.431987563	0.081746655	0.059559946	0.511229377	0.551200501	0.528188824	0.541456831	0.419785815	0.093870666	0.799864709	0.186331005	0.729185707	0.637309848	0.685676239	0.44244765	0.512812619	0.246302337	0.494271913	0.144169777	0.609692248	0.191098055	0.511229377	0.44581405	0.729185707	0.637309848	0.685676239
92	33.8814	-0.556	91.33333333	5	0.44022	0.07649871	6.736666667	51.32	0.30672147	0.488135558	0.741666667	0.586194936	0.113282253	0.264520212	0.336461998	0.901892035	0.861028159	0.093873452	0.186645744	0.545674	0.828798067	0.655725747	0.897117195	0.361884837	0.070729323	0.396091703	0.178024173	0.734243757	0.71897518	0.936026091	0.388416917	0.757668633	0.320855847	0.575945758	0.188901232	0.619177016	0.380515785	0.545674	0.484053006	0.734243757	0.71897518	0.936026091
93	34.0822	-0.7956	70.66666667	3	0.15061	0.029827748	6.263333333	80.34	0.354572319	0.428009066	0.656372549	0.51127298	0.078424112	0.189274108	0.332791726	0.532580128	0.3745781	0.066614777	0.142014371	0.095699733	0.49937661	0.316768168	0.511245161	0.211110712	0.064545158	0.201609656	0.17808535	0.942255822	0.741393114	0.871668448	0.358585206	0.359533554	0.287776426	0.461900407	0.13384911	0.432685927	0.194402416	0.095699733	0.283248688	0.942255822	0.741393114	0.871668448
95	41.415993	-0.4796	86	14	0.261766667	0.055593046	7.926666667	59.62	0.401246508	0.539762563	0.560784314	0.783558793	0.042951332	0.204536608	0.143724123	0.7485624	0.149849445	0.068909433	0.056524498	0.285110893	0.622842565	0.674730877	0.510539397	0.039583397	0.020955006	0.065167482	0.088047925	0.666537432	0.809447558	0.81571584	0.23858008	0.448614635	0.278364999	0.440912272	0.12374397	0.446143261	0.091761125	0.285110893	0.288838093	0.666537432	0.809447558	0.81571584
97	46.74008	-0.4349	89.5	10	0.403693333	0.089874121	6.39	24.2	0.192346336	0.28708641	0.175	0.271592092	0.023666893	0.320763511	0.540140544	0.123785432	0.5639142	0.137279162	0.03210372	0.241823746	0.376619156	0.347648274	0.464302923	0.094278324	0.079807076	0.136732722	0.22395176	0.487504301	0.821457166	0.87457172	0.321783201	0.39886166	0.299497822	0.427519868	0.172215202	0.331962988	0.244432361	0.241823746	0.246191462	0.487504301	0.821457166	0.87457172
99	44.53041	-1.0145	97.5	4	0.591968333	0.082209317	5.396666667	29.3	0.474143026	0.282955133	0.546078431	0.119320153	1	0.514194671	0.536600598	1	0.560671399	0.234076924	0.252173689	0.217961725	0.430019431	0.376289701	0.462301007	0.248945553	0.21446394	0.224421614	0.385628509	0.99044405	0.81184948	0.788794689	0.452921985	0.409448653	0.64455446	0.627250372	0.757097335	0.768300299	0.348974004	0.217961725	0.334581394	0.99044405	0.81184948	0.788794689
103	19.31056	-0.4834	41	23	1.370933333	0.07470972	5.813333333	43.54	0.541540404	0.44296926	0.454901961	0.83211932	0.139506939	1	1	0.82665503	0.091113899	0.10750738	0.09389309	0.581930016	0.651841779	0.652008803	0.710588506	0.287362663	0.328088323	0.206429921	0.447907133	0.540147656	0.865492394	0.965859154	0.485412779	0.537496601	0.524723106	0.625398787	0.569753469	0.913327515	0.09750479	0.581930016	0.469175304	0.540147656	0.865492394	0.965859154
104	19.294317	-0.5147	92.94444444	21	0.346883333	0.042478497	6.683333333	53.6	0.344871588	0.61477553	0.590196078	1	0.054245935	0.347469245	0.119890312	0.765061519	0.31321211	0.065707929	0.109687709	0.477692331	0.212499379	0.172148454	0.399903147	0.055131541	0.031622945	0.073672183	0.194026432	0.808665908	0.836669335	0.836683378	0.273175078	0.315091084	0.337018056	0.491078572	0.20085759	0.442475916	0.162869249	0.477692331	0.162714869	0.808665908	0.836669335	0.836683378
105	19.418751	-0.4494	50.16666667	2	0.474866667	0.094649388	7.626666667	43.16	0.278298947	0.377330819	0.365686275	0.616024974	0.055757252	0.504896905	0.206722452	0.283246221	0.878046914	0.019223709	0.049261717	0.614399276	0.345163927	0.449710098	0.496759525	0.087155862	0.036781839	0.094157482	0.049903269	1	0.914331465	0.7796012	0.284193226	0.556815948	0.381061835	0.546494838	0.280327079	0.244984337	0.31551078	0.614399276	0.222804572	1	0.914331465	0.7796012
107	40.41056	-0.2761	31.2	8	0.15598	0.040206831	8.59	79.42	0.284356867	0.460128544	0.27745098	0.760319112	0.062217501	0.425568587	0.308708231	0.590296536	0.417709931	0.050412671	0.073502427	0.212947279	0.146395618	0.17708003	0.288577945	0.265570063	0.075366795	0.184931388	0.062252658	0.80509434	0.644515612	0.380817946	0.266644261	0.248542161	0.301451032	0.386095723	0.243893044	0.449502384	0.180541676	0.212947279	0.1714535	0.80509434	0.644515612	0.380817946
115	7.756	-0.8737	53.93258427	14	0.097566667	0.017963064	5.123333333	90.66	0.091016548	0.380926473	0.275980392	0.037807839	0.083588359	0.087148756	0.066296847	0.630876443	0.040510697	0.00804231	0.01426832	0.015535805	0.108922127	0.038872045	0.061831371	0	0.004778165	0.008659474	0.024104051	0.637290219	0.571657326	0.046050782	0.099402731	0.053134409	0.18916569	0.220092423	0.085368557	0.348586645	0.020940442	0.015535805	0.035309605	0.637290219	0.571657326	0.046050782
116	7.517	-0.9172	46.34146341	15	0.17367	0.020906381	6.566666667	70.54	0.208988824	0.465875609	0.384803922	0.657301422	0.022647416	0.15227998	0.114111282	0.683927286	0.256295015	0.083272143	0.026187169	0.098281103	0.30503214	0.201613892	0.157269539	0.04886747	0.015301093	0.00014976	0.049936103	0.408905139	0.850280224	0.870780692	0.19891546	0.203698338	0.262848697	0.368476924	0.087463698	0.399019284	0.121918109	0.098281103	0.111167143	0.408905139	0.850280224	0.870780692
117	7.492	-0.9337	31.57894737	6	0.100193333	0.029142366	8.12	82.34	0.236073501	0.238375606	0.344117647	0.404092959	0.01250305	0.097681456	0.214770525	0.627786681	0.142814585	0.030436315	0.0141054	0.065314489	0.184465724	0.184708269	0.204985275	0.021563597	0.006616499	0	0.005038746	0.429520222	0.883106485	0.642938312	0.168860527	0.156457669	0.251849098	0.330808846	0.055092253	0.421278603	0.0624521	0.065314489	0.086768302	0.429520222	0.883106485	0.642938312
121	28.040376	-0.7248	77.25225225	5	0.245606667	0.065932145	8.45	90.8	0.122783688	0.325043822	0.134313725	0.556018037	0.04230809	0.110402507	0.419069888	0	0.33551244	0.117157784	0.00758862	0.159151111	0.137230582	0.085975852	0.169109736	0.458795305	0.310306225	0.870943489	0.584033143	0.981424513	0.574059247	0.85633506	0.574758176	0.177395944	0.183589616	0.423006301	0.076355299	0.209534944	0.153419615	0.159151111	0.373770619	0.981424513	0.574059247	0.85633506
123	27.483416	-0.6849	63.61581921	4	0.063713333	0.008155249	7.916666667	81.74	0.177393617	0.394116234	0.152941176	0.477627471	0.017042131	0.064329629	0.399765693	0.432096427	0.246123897	0.028949378	0.028528065	0.100495201	0.359835687	0.363339258	0.692455964	0.152470921	0.032047771	0.05911483	0.089536667	0.621228927	0.424339472	0.927949054	0.288882905	0.352450001	0.133559824	0.360207346	0.04068588	0.41593106	0.101200447	0.100495201	0.249828728	0.621228927	0.424339472	0.927949054
125	26.9335	-0.6899	57	5	0.03424	0.034812871	7.313333333	86.24	0.147222222	0.126818867	0.158823529	0.113770378	0.067888781	0	0.446361858	0.47696936	0.961480496	0	0	0.040620106	0.02693531	0.060224002	0.115929965	0.013348757	0	0.004722642	0	0.806815208	0.540432346	0.791517104	0.257845696	0.241037976	0.152080282	0.378385331	0.03394439	0.461665609	0.320493499	0.040620106	0.031594382	0.806815208	0.540432346	0.791517104
127	37.192943	-0.3296	99.4	16	0.084826667	0.055537101	8.306666667	71.28	0.343385988	0.561168011	0.326960784	0.62989941	0.086441595	0.083248315	0.150751584	0.713849832	0.259983636	0.030282114	0.036305328	0.205902018	0.334823663	0.456309303	0.554891822	0.190948418	0.015635363	0.30999507	0.060362691	0.781542713	0	0.879262352	0.302347538	0.362382088	0.05149881	0.345927406	0.084844955	0.432300708	0.108857026	0.205902018	0.274709476	0.781542713	0	0.879262352
129	40.20521	-0.6795	64.40082997	2	0.05184	0.018038481	8.223333333	73.3	0.212188373	0.42889848	0.544117647	0.834894207	0.064312144	0.031066686	0.425695837	0.682851988	0.218167544	0.065601457	0.045394522	0.162436824	0.202073536	0.378822959	0.270160591	0.126025733	0.041071671	0.152524578	0.067537618	0.641307579	0.878302642	0.832580028	0.294043063	0.246332291	0.254768999	0.425399959	0.047689415	0.554273912	0.109721174	0.162436824	0.176888098	0.641307579	0.878302642	0.832580028
131	41.1672	-1.0744	75.77695047	8	0.288663333	0.040565528	5.56	57.44	0.295175156	0.366227935	0.312254902	0.371834894	0.07866828	0.245786743	0.805098302	0.355480191	0.138083303	0.147999794	0.027687743	0.154242893	0.170236139	0.140224607	0.218612673	0.116413272	0.075819993	0.19076079	0.46170497	0.867129984	0.829463571	1	0.458115888	0.164279923	0.295401584	0.486774587	0.162227511	0.580289247	0.10459028	0.154242893	0.196253206	0.867129984	0.829463571	1
133	31.770055	-0.2276	99.3	7	0.510703333	0.138880658	8.016666667	44.3	0.325582957	0.512560727	0.241176471	0.58792924	0.270620547	0.365949991	0.897474334	0.878476715	0.48741721	0.081498832	0.113409134	0.43131184	0.288062058	0.295385995	0.408997292	0.248420832	0.030410805	0.357278306	0.059740771	0.655469657	0.209767814	0.792238299	0.39031648	0.382234879	0.239936871	0.47045941	0.318285269	0.887975525	0.227441726	0.43131184	0.241185151	0.655469657	0.209767814	0.792238299
135	31.234653	-0.1024	87.4	19	0.266926667	0.044828719	8.47	76.02	0.181358801	0.266163016	0.101470588	0.447103711	0.166377145	0.04678705	0.362790597	0.328206368	0.434620075	0.080882029	0.118356742	0.19049224	0.39194164	0.397560605	0.506307519	0.347435346	0.144515742	1	0.234591027	0.674915918	0.728582866	0.741903407	0.448379258	0.384184416	0.265025951	0.428878231	0.106582097	0.345498482	0.211286282	0.19049224	0.431764554	0.674915918	0.728582866	0.741903407
137	31.309503	-0.1215	34.77777778	18	0.126323333	0.033325065	8.356666667	54.88	0.141680099	0.266031779	0.277941176	0.332292751	0.123500248	0.114216078	0.787978044	0.840538639	0.293236046	0.058750532	0.059405601	0.166776837	0.362472409	0.360424204	0.405995298	0.242386349	0.064402791	0.402660245	0.082544207	0.12529795	0.497998399	0.833548959	0.324696135	0.317780959	0.198780081	0.371035199	0.118858163	0.814258342	0.137130726	0.166776837	0.274412215	0.12529795	0.497998399	0.833548959
